Number of nodes: 20
Number of links: 62
==================================================
source	dest.	hops	path (link ids)
[18]	[3]	5/5/8	41-37-5-0-8/57-33-23-17-13/60-59-55-53-51-29-21-15
[18]	[4]	4/5/9	57-33-23-17/41-37-5-2-10/60-59-55-53-51-29-21-15-12
[18]	[5]	4/6/10	57-33-25-21/41-37-5-0-8-14/60-59-55-53-51-29-26-31-23-19
[18]	[6]	3/6/8	57-33-23/41-37-5-2-10-16/60-59-55-53-51-29-21-18
[18]	[7]	3/4/6	57-33-25/41-37-35-27/60-59-55-53-51-29
[18]	[8]	2/4/7	57-33/41-37-35-31/60-59-55-53-51-29-24
[18]	[9]	3/3/7	57-33-30/41-37-35/60-59-55-53-51-29-26
[18]	[10]	2/4/11	41-37/57-33-30-34/60-59-55-53-51-29-21-15-9-1-4
[18]	[11]	1/4/6	41/57-55-45-39/60-59-33-30-34-36
[18]	[12]	2/3/7	41-38/57-55-45/60-59-33-25-28-47-43
[18]	[13]	3/4/6	41-38-42/57-55-53-49/60-59-33-25-28-47
[18]	[14]	4/4/5	57-55-53-51/41-38-42-46/60-59-33-25-28
[18]	[15]	3/4/6	57-55-53/41-38-42-48/60-59-33-25-28-50
[18]	[16]	2/3/7	57-55/41-38-44/60-59-33-25-28-50-52
[18]	[17]	1/2/4	57/60-59/41-38-44-54
[18]	[18]	0/0/0	-/-/-
[18]	[19]	1/2/0	60/57-58/-
[19]	[0]	4/6/0	61-41-37-5/59-33-23-17-11-3/-
[19]	[1]	5/6/0	61-41-37-5-0/59-33-23-17-11-7/-
[19]	[2]	5/5/0	59-33-23-17-11/61-41-37-5-2/-
[19]	[3]	5/6/0	59-33-23-17-13/61-41-37-5-0-8/-
[19]	[4]	4/6/0	59-33-23-17/61-41-37-5-2-10/-
[19]	[5]	4/6/0	59-33-23-19/61-41-37-35-27-21/-
[19]	[6]	3/7/0	59-33-23/61-41-37-5-2-10-16/-
[19]	[7]	3/5/0	59-33-25/61-41-37-35-27/-
[19]	[8]	2/5/0	59-33/61-41-37-35-31/-
[19]	[9]	3/4/0	59-33-30/61-41-37-35/-
[19]	[10]	3/4/0	61-41-37/59-33-30-34/-
[19]	[11]	2/4/0	61-41/59-55-45-39/-
[19]	[12]	3/3/0	59-55-45/61-41-38/-
[19]	[13]	4/4/0	59-55-53-49/61-41-38-42/-
[19]	[14]	4/5/0	59-55-53-51/61-41-38-42-46/-
[19]	[15]	3/5/0	59-55-53/61-41-38-42-48/-
[19]	[16]	2/4/0	59-55/61-41-38-44/-
[19]	[17]	1/2/0	59/61-57/-
[19]	[18]	1/2/0	61/59-56/-
[19]	[19]	0/0/0	-/-/-
